Iteration 0
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
curr length is4722
Iteration 1
curr length is5109
curr length is4915
curr length is4915
curr length is5109
curr length is5238
curr length is4904
curr length is5109
curr length is4975
curr length is4915
curr length is5013
curr length is5033
curr length is5109
curr length is4915
curr length is5109
curr length is5109
curr length is4915
curr length is5237
curr length is4904
curr length is5109
curr length is4879
curr length is5109
curr length is5584
curr length is5238
curr length is4827
curr length is4816
curr length is5013
curr length is4959
curr length is4600
curr length is5109
curr length is5013
curr length is5193
curr length is5109
curr length is5109
curr length is4959
curr length is4893
curr length is5033
curr length is5284
curr length is4904
curr length is4729
curr length is5109
curr length is5033
curr length is4729
curr length is4904
curr length is5109
curr length is4866
curr length is5128
curr length is5109
curr length is4770
curr length is5442
curr length is5109
Iteration 2
curr length is4017
curr length is4793
curr length is4594
curr length is4292
curr length is4568
curr length is5269
curr length is4229
curr length is4793
curr length is5031
curr length is4596
curr length is4671
curr length is4144
curr length is4780
curr length is4330
curr length is4556
curr length is4463
curr length is4398
curr length is4733
curr length is5471
curr length is4618
curr length is4819
curr length is4250
curr length is4470
curr length is4707
curr length is4867
curr length is4458
curr length is4489
curr length is5073
curr length is5020
curr length is4428
curr length is4428
curr length is4079
curr length is4593
curr length is4458
curr length is5070
curr length is4278
curr length is4661
curr length is4573
curr length is4654
curr length is3650
curr length is4337
curr length is4786
curr length is4431
curr length is3753
curr length is3858
curr length is4607
curr length is3752
curr length is4742
curr length is4485
curr length is4799
Iteration 3
curr length is5262
curr length is4388
curr length is5125
curr length is4005
curr length is4433
curr length is4643
curr length is5215
curr length is4300
curr length is5062
curr length is5365
curr length is4280
curr length is4453
curr length is5240
curr length is4686
curr length is4619
curr length is4400
curr length is4707
curr length is4950
curr length is4795
curr length is5580
curr length is4425
curr length is3995
curr length is4434
curr length is5272
curr length is5694
curr length is3920
curr length is4844
curr length is4532
curr length is4986
curr length is4519
curr length is4795
curr length is5624
curr length is4674
curr length is3995
curr length is5255
curr length is5367
curr length is5576
curr length is4432
curr length is4831
curr length is4983
curr length is5175
curr length is4689
curr length is4344
curr length is4975
curr length is5109
curr length is5432
curr length is4458
curr length is4711
curr length is4673
curr length is4336
Iteration 4
curr length is4694
curr length is4258
curr length is4809
curr length is4889
curr length is4528
curr length is4437
curr length is4778
curr length is5513
curr length is5055
curr length is4739
curr length is5251
curr length is4267
curr length is4760
curr length is5291
curr length is4499
curr length is4079
curr length is4742
curr length is4829
curr length is4303
curr length is4671
curr length is5244
curr length is4741
curr length is3395
curr length is4142
curr length is4971
curr length is4236
curr length is5202
curr length is4630
curr length is5098
curr length is4115
curr length is4487
curr length is5576
curr length is4538
curr length is5142
curr length is5163
curr length is4856
curr length is4434
curr length is4640
curr length is4907
curr length is4057
curr length is3912
curr length is4350
curr length is3525
curr length is4746
curr length is4846
curr length is5089
curr length is4623
curr length is4744
curr length is4552
curr length is4750
Iteration 5
curr length is5078
curr length is4747
curr length is5164
curr length is4294
curr length is4909
curr length is4782
curr length is4906
curr length is4698
curr length is4772
curr length is4771
curr length is3617
curr length is5203
curr length is4945
curr length is5385
curr length is5654
curr length is4582
curr length is5042
curr length is4062
curr length is4895
curr length is4989
curr length is5335
curr length is4498
curr length is4052
curr length is3801
curr length is4799
curr length is4219
curr length is5104
curr length is4664
curr length is4162
curr length is3639
curr length is3722
curr length is4403
curr length is5051
curr length is4313
curr length is5255
curr length is4007
curr length is4468
curr length is5038
curr length is5397
curr length is4711
curr length is3986
curr length is4734
curr length is4590
curr length is4318
curr length is5048
curr length is4987
curr length is4335
curr length is4916
curr length is4736
curr length is4473
Iteration 6
curr length is5019
curr length is4999
curr length is3466
curr length is4803
curr length is5205
curr length is4466
curr length is4447
curr length is4332
curr length is4044
curr length is4042
curr length is4180
curr length is4375
curr length is4454
curr length is4726
curr length is4298
curr length is3996
curr length is4686
curr length is3768
curr length is4819
curr length is3919
curr length is4960
curr length is5141
curr length is4259
curr length is4948
curr length is5335
curr length is4389
curr length is3865
curr length is4152
curr length is4850
curr length is3901
curr length is4974
curr length is4967
curr length is4908
curr length is4975
curr length is4569
curr length is4268
curr length is5277
curr length is4633
curr length is5222
curr length is4240
curr length is4207
curr length is4753
curr length is4647
curr length is5032
curr length is4917
curr length is4799
curr length is4886
curr length is4279
curr length is3945
curr length is5015
Iteration 7
curr length is3652
curr length is5149
curr length is4310
curr length is4736
curr length is5579
curr length is4511
curr length is5229
curr length is5495
curr length is4653
curr length is4761
curr length is5390
curr length is5039
curr length is4581
curr length is4592
curr length is4330
curr length is4116
curr length is4746
curr length is4929
curr length is4365
curr length is4806
curr length is4705
curr length is4794
curr length is3998
curr length is4596
curr length is4547
curr length is4572
curr length is4708
curr length is4634
curr length is4650
curr length is4638
curr length is4308
curr length is4633
curr length is4988
curr length is4719
curr length is4477
curr length is4285
curr length is4088
curr length is4716
curr length is5141
curr length is4964
curr length is4777
curr length is4755
curr length is4766
curr length is4167
curr length is3830
curr length is5238
curr length is5031
curr length is4675
curr length is3870
curr length is4238
Iteration 8
curr length is4928
curr length is4995
curr length is4023
curr length is4865
curr length is4863
curr length is4562
curr length is5348
curr length is4239
curr length is5255
curr length is4710
curr length is4485
curr length is3986
curr length is5003
curr length is4628
curr length is4798
curr length is4843
curr length is5389
curr length is5156
curr length is5449
curr length is5254
curr length is4863
curr length is4309
curr length is5178
curr length is4820
curr length is4696
curr length is5254
curr length is3775
curr length is4491
curr length is4624
curr length is5185
curr length is5018
curr length is5171
curr length is5532
curr length is5205
curr length is5605
curr length is5102
curr length is5124
curr length is3964
curr length is3861
curr length is5244
curr length is4604
curr length is4937
curr length is5150
curr length is4721
curr length is5097
curr length is4770
curr length is4647
curr length is3694
curr length is4649
curr length is4480
Iteration 9
curr length is4179
curr length is4583
curr length is4776
curr length is4878
curr length is5159
curr length is5182
curr length is3960
curr length is4790
curr length is4024
curr length is4312
curr length is4282
curr length is5474
curr length is4967
curr length is4003
curr length is4889
curr length is4122
curr length is4223
curr length is4870
curr length is4962
curr length is5494
curr length is5719
curr length is4419
curr length is4808
curr length is4205
curr length is4649
curr length is4498
curr length is4897
curr length is4802
curr length is4719
curr length is4813
curr length is4766
curr length is5031
curr length is5189
curr length is4525
curr length is4567
curr length is5218
curr length is3856
curr length is4786
curr length is4226
curr length is4578
curr length is4904
curr length is4349
curr length is5176
curr length is5455
curr length is5240
curr length is3262
curr length is4972
curr length is4826
curr length is5127
curr length is5188
Iteration 10
curr length is4959
curr length is4319
curr length is4506
curr length is4197
curr length is5024
curr length is4194
curr length is4637
curr length is4181
curr length is4899
curr length is5246
curr length is4690
curr length is4612
curr length is5018
curr length is5012
curr length is5061
curr length is4178
curr length is4173
curr length is4679
curr length is4813
curr length is4737
curr length is4941
curr length is4513
curr length is5106
curr length is5412
curr length is4520
curr length is4875
curr length is3823
curr length is5259
curr length is5658
curr length is4083
curr length is5077
curr length is5134
curr length is3770
curr length is4723
curr length is4127
curr length is5000
curr length is4766
curr length is4924
curr length is4763
curr length is4649
curr length is4925
curr length is4517
curr length is5571
curr length is5259
curr length is4274
curr length is5122
curr length is4125
curr length is4298
curr length is4526
curr length is4960
Iteration 11
curr length is4320
curr length is4604
curr length is4823
curr length is5277
curr length is4830
curr length is4965
curr length is4540
curr length is4484
curr length is4349
curr length is4106
curr length is4491
curr length is4336
curr length is4400
curr length is4211
curr length is4025
curr length is4845
curr length is4246
curr length is4690
curr length is4557
curr length is5156
curr length is4134
curr length is5075
curr length is4344
curr length is4360
curr length is3917
curr length is4358
curr length is4466
curr length is5109
curr length is4114
curr length is5319
curr length is4852
curr length is4234
curr length is4639
curr length is4016
curr length is4770
curr length is4282
curr length is4631
curr length is4670
curr length is4464
curr length is4244
curr length is4422
curr length is4038
curr length is5181
curr length is3134
curr length is4217
curr length is4408
curr length is4405
curr length is4265
curr length is4556
curr length is4444
Iteration 12
curr length is4581
curr length is4822
curr length is4945
curr length is5134
curr length is4432
